id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,1071,632,3481,2329,2329,100.00,100.00,100.00,100.00,1.695,0.308,0.460,0.460
values_30,174,127,642,437,437,100.00,100.00,100.00,100.00,1.370,0.271,0.398,0.398
values_96,1073,636,3501,2336,2336,100.00,100.00,100.00,100.00,1.687,0.306,0.459,0.459
values_15,1234,728,3989,2707,2707,100.00,100.00,100.00,100.00,1.695,0.309,0.456,0.456
values_16,1489,888,4913,3269,3269,100.00,100.00,100.00,100.00,1.677,0.303,0.455,0.455
values_94,386,255,1358,907,907,100.00,100.00,100.00,100.00,1.514,0.284,0.426,0.426
values_90,1844,1088,6113,4021,4021,100.00,100.00,100.00,100.00,1.695,0.302,0.459,0.459
values_52,1027,604,3293,2244,2244,100.00,100.00,100.00,100.00,1.700,0.312,0.458,0.458
values_78,905,540,2985,1952,1952,100.00,100.00,100.00,100.00,1.676,0.303,0.464,0.464
values_20,737,484,2645,1746,1746,100.00,100.00,100.00,100.00,1.523,0.279,0.422,0.422
values_53,1237,744,4113,2705,2705,100.00,100.00,100.00,100.00,1.663,0.301,0.457,0.457
values_43,137,103,505,335,335,100.00,100.00,100.00,100.00,1.330,0.271,0.409,0.409
values_42,412,267,1411,970,970,100.00,100.00,100.00,100.00,1.543,0.292,0.425,0.425
values_0,1640,980,5437,3604,3604,100.00,100.00,100.00,100.00,1.673,0.302,0.455,0.455
values_61,1578,936,5205,3455,3455,100.00,100.00,100.00,100.00,1.686,0.303,0.457,0.457
values_97,393,263,1406,927,927,100.00,100.00,100.00,100.00,1.494,0.280,0.424,0.424
values_14,339,219,1161,784,784,100.00,100.00,100.00,100.00,1.548,0.292,0.432,0.432
values_87,1995,1180,6637,4356,4356,100.00,100.00,100.00,100.00,1.691,0.301,0.458,0.458
values_50,218,163,847,566,566,100.00,100.00,100.00,100.00,1.337,0.257,0.385,0.385
values_83,1833,1076,5993,4018,4018,100.00,100.00,100.00,100.00,1.704,0.306,0.456,0.456
values_67,1802,1084,6081,3942,3942,100.00,100.00,100.00,100.00,1.662,0.296,0.457,0.457
values_86,430,279,1495,1009,1009,100.00,100.00,100.00,100.00,1.541,0.288,0.426,0.426
values_23,648,424,2285,1533,1533,100.00,100.00,100.00,100.00,1.528,0.284,0.423,0.423
values_64,1768,1056,5909,3869,3869,100.00,100.00,100.00,100.00,1.674,0.299,0.457,0.457
values_44,1699,1008,5649,3707,3707,100.00,100.00,100.00,100.00,1.686,0.301,0.458,0.458
values_71,175,131,662,444,444,100.00,100.00,100.00,100.00,1.336,0.264,0.394,0.394
values_93,70,50,234,158,158,100.00,100.00,90.00,100.00,1.400,0.299,0.443,0.443
values_88,624,404,2213,1456,1456,100.00,100.00,100.00,100.00,1.545,0.282,0.429,0.429
