ID_VAL,DSP,BRAM,Flip_Flop,Area,min_Slack,Max_Freq,Clock_Cycles
values_84,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,550.0
values_30,4.0,32.0,592.0,7589.0,1.1102230246251565e-16,200.10405366767878,50.0
values_96,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,1240.0
values_15,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,563.0
values_16,4.0,32.0,605.0,6764.0,1.1102230246251565e-16,200.10405366767878,583.0
values_94,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,661.0
values_90,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,994.0
values_52,4.0,32.0,593.0,7580.0,1.1102230246251565e-16,200.10405366767878,76.0
values_78,4.0,32.0,593.0,7590.0,1.1102230246251565e-16,200.10405366767878,158.0
values_20,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,997.0
values_53,4.0,32.0,605.0,6754.0,1.1102230246251565e-16,200.10405366767878,910.0
values_43,4.0,32.0,605.0,6764.0,1.1102230246251565e-16,200.10405366767878,800.0
values_42,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,1001.0
values_0,4.0,32.0,605.0,6755.0,1.1102230246251565e-16,200.10405366767878,1111.0
values_61,4.0,32.0,605.0,6764.0,1.1102230246251565e-16,200.10405366767878,1213.0
values_97,4.0,32.0,605.0,6764.0,1.1102230246251565e-16,200.10405366767878,597.0
values_14,4.0,32.0,594.0,7591.0,1.1102230246251565e-16,200.10405366767878,195.0
values_87,4.0,32.0,605.0,6765.0,1.1102230246251565e-16,200.10405366767878,931.0
values_50,4.0,32.0,594.0,7591.0,1.1102230246251565e-16,200.10405366767878,323.0
values_83,4.0,32.0,594.0,7591.0,1.1102230246251565e-16,200.10405366767878,378.0
values_67,4.0,32.0,605.0,6764.0,1.1102230246251565e-16,200.10405366767878,1285.0
