id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,45,36,211,137,101,100.00,90.91,54.55,100.00,1.250,0.213,0.328,0.446
values_30,162,99,584,455,283,100.00,90.91,81.82,100.00,1.636,0.277,0.356,0.572
values_96,77,58,315,269,163,100.00,90.91,59.09,100.00,1.328,0.244,0.286,0.472
values_15,135,107,654,468,312,100.00,100.00,86.36,100.00,1.262,0.206,0.288,0.433
values_16,387,231,1389,1091,660,100.00,90.91,86.36,100.00,1.675,0.279,0.355,0.586
values_94,311,188,1109,884,544,100.00,90.91,81.82,100.00,1.654,0.280,0.352,0.572
values_90,254,155,929,704,441,100.00,90.91,81.82,100.00,1.639,0.273,0.361,0.576
values_52,197,121,696,566,352,100.00,90.91,81.82,100.00,1.628,0.283,0.348,0.560
values_78,154,94,552,434,271,100.00,90.91,72.73,100.00,1.638,0.279,0.355,0.568
values_20,126,98,578,424,273,100.00,90.91,72.73,100.00,1.286,0.218,0.297,0.462
values_53,204,162,979,719,466,100.00,90.91,86.36,100.00,1.259,0.208,0.284,0.438
values_43,41,33,170,126,90,100.00,100.00,59.09,100.00,1.242,0.241,0.325,0.456
values_42,272,164,929,763,465,100.00,90.91,72.73,100.00,1.659,0.293,0.356,0.585
values_0,403,245,1522,1132,706,100.00,90.91,86.36,100.00,1.645,0.265,0.356,0.571
values_61,326,191,1136,913,544,100.00,100.00,86.36,100.00,1.707,0.287,0.357,0.599
values_97,222,133,754,624,371,100.00,90.91,72.73,100.00,1.669,0.294,0.356,0.598
values_14,174,102,607,491,297,100.00,100.00,81.82,100.00,1.706,0.287,0.354,0.586
values_87,227,183,1094,826,536,100.00,90.91,86.36,100.00,1.240,0.207,0.275,0.424
values_50,298,179,1057,837,520,100.00,100.00,90.91,100.00,1.665,0.282,0.356,0.573
values_83,218,131,768,613,380,100.00,100.00,90.91,100.00,1.664,0.284,0.356,0.574
values_67,36,31,160,113,84,100.00,90.91,50.00,100.00,1.161,0.225,0.319,0.429
values_86,272,162,992,760,465,100.00,100.00,90.91,100.00,1.679,0.274,0.358,0.585
values_23,71,59,365,241,172,100.00,90.91,68.18,100.00,1.203,0.195,0.295,0.413
values_64,82,67,397,280,192,100.00,90.91,81.82,100.00,1.224,0.207,0.293,0.427
values_44,134,106,642,476,312,100.00,100.00,86.36,100.00,1.264,0.209,0.282,0.429
values_71,107,84,502,367,241,100.00,90.91,72.73,100.00,1.274,0.213,0.292,0.444
values_93,330,194,1099,942,553,100.00,90.91,72.73,100.00,1.701,0.300,0.350,0.597
values_88,7,11,52,32,23,100.00,27.27,13.64,100.00,0.636,0.135,0.219,0.304
values_26,38,32,180,118,88,100.00,90.91,50.00,100.00,1.188,0.211,0.322,0.432
values_59,125,100,612,438,294,100.00,100.00,90.91,100.00,1.250,0.204,0.285,0.425
values_57,127,103,634,444,300,100.00,90.91,81.82,100.00,1.233,0.200,0.286,0.423
values_82,230,140,831,646,405,100.00,90.91,81.82,100.00,1.643,0.277,0.356,0.568
values_75,220,132,784,621,384,100.00,100.00,81.82,100.00,1.667,0.281,0.354,0.573
values_51,73,60,383,246,176,100.00,90.91,72.73,100.00,1.217,0.191,0.297,0.415
values_7,237,144,832,673,412,100.00,90.91,81.82,100.00,1.646,0.285,0.352,0.575
values_92,174,106,626,487,301,100.00,90.91,81.82,100.00,1.642,0.278,0.357,0.578
values_56,256,156,947,713,445,100.00,90.91,81.82,100.00,1.641,0.270,0.359,0.575
values_47,139,110,690,497,326,100.00,90.91,81.82,100.00,1.264,0.201,0.280,0.426
values_95,276,166,941,776,471,100.00,90.91,72.73,100.00,1.663,0.293,0.356,0.586
values_98,243,149,912,674,424,100.00,90.91,77.27,100.00,1.631,0.266,0.361,0.573
values_8,349,213,1312,982,624,100.00,90.91,86.36,100.00,1.638,0.266,0.355,0.559
values_18,203,126,776,566,364,100.00,90.91,77.27,100.00,1.611,0.262,0.359,0.558
values_28,395,238,1438,1125,692,100.00,90.91,86.36,100.00,1.660,0.275,0.351,0.571
values_81,114,89,512,404,255,100.00,90.91,77.27,100.00,1.281,0.223,0.282,0.447
values_17,79,65,378,273,189,100.00,90.91,72.73,100.00,1.215,0.209,0.289,0.418
values_38,116,91,494,417,259,100.00,90.91,68.18,100.00,1.275,0.235,0.278,0.448
values_41,271,163,958,770,464,100.00,90.91,72.73,100.00,1.663,0.283,0.352,0.584
values_73,285,177,1083,790,506,100.00,90.91,86.36,100.00,1.610,0.263,0.361,0.563
values_66,110,86,532,368,245,100.00,90.91,68.18,100.00,1.279,0.207,0.299,0.449
values_58,7,11,52,32,23,100.00,27.27,13.64,100.00,0.636,0.135,0.219,0.304
values_70,374,215,1201,1077,619,100.00,90.91,72.73,100.00,1.740,0.311,0.347,0.604
values_46,100,80,432,357,229,100.00,90.91,68.18,100.00,1.250,0.231,0.280,0.437
values_11,200,119,676,573,339,100.00,90.91,77.27,100.00,1.681,0.296,0.349,0.590
values_33,184,111,636,517,315,100.00,90.91,77.27,100.00,1.658,0.289,0.356,0.584
values_72,162,128,765,563,365,100.00,90.91,81.82,100.00,1.266,0.212,0.288,0.444
values_6,377,228,1340,1084,662,100.00,90.91,86.36,100.00,1.654,0.281,0.348,0.569
values_10,146,117,710,499,332,100.00,90.91,81.82,100.00,1.248,0.206,0.293,0.440
values_27,470,278,1607,1339,803,100.00,90.91,77.27,100.00,1.691,0.292,0.351,0.585
values_24,311,185,1101,911,546,100.00,90.91,86.36,100.00,1.681,0.282,0.341,0.570
values_3,403,235,1407,1155,686,100.00,90.91,81.82,100.00,1.715,0.286,0.349,0.587
values_69,75,62,365,260,180,100.00,90.91,77.27,100.00,1.210,0.205,0.288,0.417
values_36,297,179,1065,857,524,100.00,90.91,86.36,100.00,1.659,0.279,0.347,0.567
values_21,6,10,34,27,18,100.00,27.27,13.64,100.00,0.600,0.176,0.222,0.333
values_5,114,89,534,390,253,100.00,90.91,72.73,100.00,1.281,0.213,0.292,0.451
values_49,87,71,411,295,200,100.00,90.91,72.73,100.00,1.225,0.212,0.295,0.435
values_1,175,135,758,640,390,100.00,100.00,81.82,100.00,1.296,0.231,0.273,0.449
values_2,6,10,34,27,18,100.00,27.27,13.64,100.00,0.600,0.176,0.222,0.333
values_13,200,122,736,554,355,100.00,100.00,86.36,100.00,1.639,0.272,0.361,0.563
values_32,224,135,812,618,377,100.00,90.91,68.18,100.00,1.659,0.276,0.362,0.594
values_39,296,177,1031,836,503,100.00,90.91,77.27,100.00,1.672,0.287,0.354,0.588
values_4,52,41,243,157,113,100.00,90.91,54.55,100.00,1.268,0.214,0.331,0.460
values_65,209,129,778,589,372,100.00,90.91,86.36,100.00,1.620,0.269,0.355,0.562
values_85,278,166,975,793,477,100.00,90.91,81.82,100.00,1.675,0.285,0.351,0.583
values_62,227,135,800,664,400,100.00,90.91,77.27,100.00,1.681,0.284,0.342,0.568
values_91,252,154,881,708,435,100.00,90.91,72.73,100.00,1.636,0.286,0.356,0.579
values_25,80,65,415,264,188,100.00,90.91,68.18,100.00,1.231,0.193,0.303,0.426
values_63,203,125,740,575,362,100.00,90.91,81.82,100.00,1.624,0.274,0.353,0.561
values_12,390,229,1335,1106,659,100.00,100.00,86.36,100.00,1.703,0.292,0.353,0.592
values_79,244,146,896,679,423,100.00,100.00,81.82,100.00,1.671,0.272,0.359,0.577
values_54,38,32,180,118,88,100.00,90.91,50.00,100.00,1.188,0.211,0.322,0.432
values_9,278,165,966,775,470,100.00,100.00,86.36,100.00,1.685,0.288,0.359,0.591
values_74,275,170,1019,772,490,100.00,90.91,86.36,100.00,1.618,0.270,0.356,0.561
