id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,383,161,966,739,473,100.00,100.00,90.91,100.00,2.379,0.396,0.518,0.810
values_30,195,88,542,382,253,100.00,90.91,68.18,100.00,2.216,0.360,0.510,0.771
values_96,278,124,730,546,353,100.00,90.91,77.27,100.00,2.242,0.381,0.509,0.788
values_15,228,94,539,443,266,100.00,90.91,77.27,100.00,2.426,0.423,0.515,0.857
values_16,414,168,974,808,504,100.00,90.91,86.36,100.00,2.464,0.425,0.512,0.821
values_94,203,92,528,398,260,100.00,90.91,72.73,100.00,2.207,0.384,0.510,0.781
values_90,566,235,1366,1125,735,100.00,90.91,86.36,100.00,2.409,0.414,0.503,0.770
values_52,132,64,386,265,188,100.00,90.91,63.64,100.00,2.062,0.342,0.498,0.702
values_78,146,69,435,290,198,100.00,90.91,72.73,100.00,2.116,0.336,0.503,0.737
values_20,623,250,1419,1221,776,100.00,100.00,81.82,100.00,2.492,0.439,0.510,0.803
values_53,226,94,541,443,266,100.00,90.91,68.18,100.00,2.404,0.418,0.510,0.850
values_43,531,220,1290,1044,667,100.00,90.91,81.82,100.00,2.414,0.412,0.509,0.796
values_42,625,255,1510,1219,791,100.00,90.91,77.27,100.00,2.451,0.414,0.513,0.790
values_0,314,135,802,612,396,100.00,100.00,86.36,100.00,2.326,0.392,0.513,0.793
values_61,157,70,427,299,197,100.00,100.00,86.36,100.00,2.243,0.368,0.525,0.797
values_97,179,80,462,356,235,100.00,90.91,77.27,100.00,2.237,0.387,0.503,0.762
values_14,64,36,211,137,100,100.00,90.91,54.55,100.00,1.778,0.303,0.467,0.640
values_87,355,152,865,704,439,100.00,90.91,77.27,100.00,2.336,0.410,0.504,0.809
values_50,410,161,920,792,490,100.00,90.91,72.73,100.00,2.547,0.446,0.518,0.837
values_83,709,287,1664,1406,920,100.00,90.91,86.36,100.00,2.470,0.426,0.504,0.771
values_67,462,192,1094,915,591,100.00,90.91,72.73,100.00,2.406,0.422,0.505,0.782
values_86,8,11,52,32,23,100.00,27.27,13.64,100.00,0.727,0.154,0.250,0.348
values_23,662,263,1527,1295,833,100.00,100.00,90.91,100.00,2.517,0.434,0.511,0.795
values_64,188,88,530,378,252,100.00,90.91,77.27,100.00,2.136,0.355,0.497,0.746
values_44,397,173,1049,787,521,100.00,90.91,86.36,100.00,2.295,0.378,0.504,0.762
values_71,53,32,180,118,84,100.00,90.91,50.00,100.00,1.656,0.294,0.449,0.631
values_93,128,63,379,254,176,100.00,90.91,68.18,100.00,2.032,0.338,0.504,0.727
values_88,457,190,1115,883,557,100.00,90.91,77.27,100.00,2.405,0.410,0.518,0.820
values_26,155,71,445,303,204,100.00,90.91,81.82,100.00,2.183,0.348,0.512,0.760
values_59,245,103,576,481,298,100.00,90.91,72.73,100.00,2.379,0.425,0.509,0.822
values_57,284,123,728,561,362,100.00,90.91,86.36,100.00,2.309,0.390,0.506,0.785
values_82,477,199,1201,934,614,100.00,100.00,90.91,100.00,2.397,0.397,0.511,0.777
values_75,371,159,975,728,480,100.00,90.91,68.18,100.00,2.333,0.381,0.510,0.773
values_51,267,114,626,533,333,100.00,90.91,72.73,100.00,2.342,0.427,0.501,0.802
values_7,567,239,1450,1114,734,100.00,90.91,86.36,100.00,2.372,0.391,0.509,0.772
values_92,7,10,34,27,18,100.00,27.27,13.64,100.00,0.700,0.206,0.259,0.389
values_56,223,104,628,453,302,100.00,90.91,72.73,100.00,2.144,0.355,0.492,0.738
values_47,224,98,556,437,278,100.00,90.91,72.73,100.00,2.286,0.403,0.513,0.806
values_95,7,10,34,27,18,100.00,27.27,13.64,100.00,0.700,0.206,0.259,0.389
values_98,184,83,484,364,239,100.00,90.91,77.27,100.00,2.217,0.380,0.505,0.770
values_8,63,36,211,137,100,100.00,90.91,54.55,100.00,1.750,0.299,0.460,0.630
values_18,167,76,451,326,212,100.00,90.91,68.18,100.00,2.197,0.370,0.512,0.788
values_28,200,87,474,394,245,100.00,90.91,68.18,100.00,2.299,0.422,0.508,0.816
values_81,67,35,208,136,95,100.00,100.00,59.09,100.00,1.914,0.322,0.493,0.705
values_17,435,176,1047,841,527,100.00,90.91,81.82,100.00,2.472,0.415,0.517,0.825
values_38,385,156,922,745,465,100.00,90.91,77.27,100.00,2.468,0.418,0.517,0.828
values_41,166,72,415,325,206,100.00,90.91,77.27,100.00,2.306,0.400,0.511,0.806
values_73,127,54,295,243,149,100.00,90.91,59.09,100.00,2.352,0.431,0.523,0.852
values_66,733,292,1698,1438,935,100.00,100.00,90.91,100.00,2.510,0.432,0.510,0.784
values_58,499,206,1269,965,634,100.00,100.00,90.91,100.00,2.422,0.393,0.517,0.787
values_70,446,185,1074,869,543,100.00,90.91,81.82,100.00,2.411,0.415,0.513,0.821
values_46,82,41,243,157,112,100.00,90.91,54.55,100.00,2.000,0.337,0.522,0.732
values_11,142,67,397,279,190,100.00,100.00,81.82,100.00,2.119,0.358,0.509,0.747
values_33,365,154,926,711,445,100.00,90.91,86.36,100.00,2.370,0.394,0.513,0.820
values_72,323,146,887,646,428,100.00,90.91,86.36,100.00,2.212,0.364,0.500,0.755
values_6,165,78,472,330,226,100.00,90.91,72.73,100.00,2.115,0.350,0.500,0.730
values_10,305,115,631,580,329,100.00,100.00,81.82,100.00,2.652,0.483,0.526,0.927
values_27,7,10,34,27,18,100.00,27.27,13.64,100.00,0.700,0.206,0.259,0.389
values_24,122,60,357,247,170,100.00,90.91,77.27,100.00,2.033,0.342,0.494,0.718
values_3,671,277,1628,1328,860,100.00,90.91,86.36,100.00,2.422,0.412,0.505,0.780
values_69,592,253,1502,1171,763,100.00,90.91,81.82,100.00,2.340,0.394,0.506,0.776
values_36,398,174,1061,783,517,100.00,90.91,86.36,100.00,2.287,0.375,0.508,0.770
values_21,314,140,867,625,428,100.00,90.91,81.82,100.00,2.243,0.362,0.502,0.734
values_5,216,100,632,426,290,100.00,90.91,81.82,100.00,2.160,0.342,0.507,0.745
values_49,53,32,178,118,84,100.00,90.91,50.00,100.00,1.656,0.298,0.449,0.631
values_1,333,147,911,661,440,100.00,90.91,86.36,100.00,2.265,0.366,0.504,0.757
values_2,330,135,814,639,396,100.00,90.91,81.82,100.00,2.444,0.405,0.516,0.833
values_13,7,10,34,27,18,100.00,27.27,13.64,100.00,0.700,0.206,0.259,0.389
values_32,396,162,936,763,471,100.00,100.00,86.36,100.00,2.444,0.423,0.519,0.841
values_39,253,115,671,504,340,100.00,90.91,77.27,100.00,2.200,0.377,0.502,0.744
values_4,518,213,1291,1016,645,100.00,90.91,77.27,100.00,2.432,0.401,0.510,0.803
values_65,322,120,697,609,348,100.00,90.91,68.18,100.00,2.683,0.462,0.529,0.925
values_85,515,219,1306,1020,660,100.00,90.91,81.82,100.00,2.352,0.394,0.505,0.780
values_62,131,62,365,262,172,100.00,90.91,72.73,100.00,2.113,0.359,0.500,0.762
values_91,504,212,1259,987,634,100.00,90.91,86.36,100.00,2.377,0.400,0.511,0.795
values_25,149,70,427,298,199,100.00,90.91,77.27,100.00,2.129,0.349,0.500,0.749
values_63,269,113,646,527,337,100.00,90.91,77.27,100.00,2.381,0.416,0.510,0.798
values_12,507,213,1296,991,658,100.00,90.91,81.82,100.00,2.380,0.391,0.512,0.771
values_79,318,139,842,625,405,100.00,90.91,81.82,100.00,2.288,0.378,0.509,0.785
values_54,264,116,656,528,346,100.00,90.91,77.27,100.00,2.276,0.402,0.500,0.763
values_9,206,99,616,419,289,100.00,90.91,72.73,100.00,2.081,0.334,0.492,0.713
values_74,1022,404,2340,2013,1286,100.00,100.00,86.36,100.00,2.530,0.437,0.508,0.795
values_22,195,90,544,382,258,100.00,90.91,72.73,100.00,2.167,0.358,0.510,0.756
values_89,379,150,834,751,471,100.00,90.91,81.82,100.00,2.527,0.454,0.505,0.805
values_48,419,173,1013,814,507,100.00,90.91,77.27,100.00,2.422,0.414,0.515,0.826
values_99,626,260,1544,1240,819,100.00,90.91,86.36,100.00,2.408,0.405,0.505,0.764
values_60,265,116,704,519,333,100.00,90.91,77.27,100.00,2.284,0.376,0.511,0.796
values_34,7,10,34,27,18,100.00,27.27,13.64,100.00,0.700,0.206,0.259,0.389
values_31,252,111,674,499,321,100.00,90.91,81.82,100.00,2.270,0.374,0.505,0.785
values_37,336,140,840,645,409,100.00,100.00,90.91,100.00,2.400,0.400,0.521,0.822
values_76,482,206,1240,950,620,100.00,90.91,72.73,100.00,2.340,0.389,0.507,0.777
values_19,510,211,1275,991,636,100.00,100.00,90.91,100.00,2.417,0.400,0.515,0.802
values_45,539,225,1394,1054,684,100.00,90.91,86.36,100.00,2.396,0.387,0.511,0.788
values_68,197,88,514,384,251,100.00,90.91,77.27,100.00,2.239,0.383,0.513,0.785
values_35,260,115,714,509,336,100.00,90.91,81.82,100.00,2.261,0.364,0.511,0.774
values_80,252,101,581,475,286,100.00,100.00,81.82,100.00,2.495,0.434,0.531,0.881
values_77,198,91,588,389,275,100.00,90.91,63.64,100.00,2.176,0.337,0.509,0.720
values_29,484,208,1252,966,647,100.00,90.91,86.36,100.00,2.327,0.387,0.501,0.748
values_55,388,161,965,757,483,100.00,90.91,81.82,100.00,2.410,0.402,0.513,0.803
values_40,7,10,34,27,18,100.00,27.27,13.64,100.00,0.700,0.206,0.259,0.389
