id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,135,38,361,271,111,100.00,100.00,100.00,100.00,3.553,0.374,0.498,1.216
values_30,4011,558,6841,5087,2240,100.00,100.00,100.00,100.00,7.188,0.586,0.788,1.791
values_96,105987,12678,165865,123023,54872,100.00,100.00,100.00,100.00,8.360,0.639,0.862,1.932
values_15,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_16,2338,341,4093,3046,1338,100.00,100.00,100.00,100.00,6.856,0.571,0.768,1.747
values_94,105987,12678,165865,123023,54872,100.00,100.00,100.00,100.00,8.360,0.639,0.862,1.932
values_90,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_52,18323,2326,29673,22031,9768,100.00,100.00,100.00,100.00,7.877,0.617,0.832,1.876
values_78,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_20,31563,3918,50461,37451,16640,100.00,100.00,100.00,100.00,8.056,0.625,0.843,1.897
values_53,89338,10733,140161,103966,46350,100.00,100.00,100.00,100.00,8.324,0.637,0.859,1.927
values_43,220642,25973,342115,253678,113352,100.00,100.00,100.00,100.00,8.495,0.645,0.870,1.947
values_42,31563,3918,50461,37451,16640,100.00,100.00,100.00,100.00,8.056,0.625,0.843,1.897
values_0,31563,3918,50461,37451,16640,100.00,100.00,100.00,100.00,8.056,0.625,0.843,1.897
values_61,488763,56766,751993,557471,249488,100.00,100.00,100.00,100.00,8.610,0.650,0.877,1.959
values_97,40095,4933,63765,47318,21042,100.00,100.00,100.00,100.00,8.128,0.629,0.847,1.905
values_14,4011,558,6841,5087,2240,100.00,100.00,100.00,100.00,7.188,0.586,0.788,1.791
values_87,135,38,361,271,111,100.00,100.00,100.00,100.00,3.553,0.374,0.498,1.216
values_50,50011,6110,79225,58783,26160,100.00,100.00,100.00,100.00,8.185,0.631,0.851,1.912
values_83,488763,56766,751993,557471,249488,100.00,100.00,100.00,100.00,8.610,0.650,0.877,1.959
values_67,50011,6110,79225,58783,26160,100.00,100.00,100.00,100.00,8.185,0.631,0.851,1.912
values_86,70435,8998,117261,86987,38760,100.00,100.00,100.00,100.00,7.828,0.601,0.810,1.817
values_23,13386,1725,21865,16238,7190,100.00,100.00,100.00,100.00,7.760,0.612,0.824,1.862
values_64,89338,10733,140161,103966,46350,100.00,100.00,100.00,100.00,8.324,0.637,0.859,1.927
values_44,18323,2326,29673,22031,9768,100.00,100.00,100.00,100.00,7.877,0.617,0.832,1.876
values_71,441586,51365,680005,504118,225570,100.00,100.00,100.00,100.00,8.597,0.649,0.876,1.958
values_93,397547,46318,612765,454283,203232,100.00,100.00,100.00,100.00,8.583,0.649,0.875,1.956
values_88,8915,1238,15565,11563,5112,100.00,100.00,100.00,100.00,7.201,0.573,0.771,1.744
values_26,70435,8998,117261,86987,38760,100.00,100.00,100.00,100.00,7.828,0.601,0.810,1.817
values_59,397547,46318,612765,454283,203232,100.00,100.00,100.00,100.00,8.583,0.649,0.875,1.956
values_57,356538,41613,550111,407846,182420,100.00,100.00,100.00,100.00,8.568,0.648,0.874,1.954
values_82,356538,41613,550111,407846,182420,100.00,100.00,100.00,100.00,8.568,0.648,0.874,1.954
values_75,13386,1725,21865,16238,7190,100.00,100.00,100.00,100.00,7.760,0.612,0.824,1.862
values_51,8915,1238,15565,11563,5112,100.00,100.00,100.00,100.00,7.201,0.573,0.771,1.744
values_7,105987,12678,165865,123023,54872,100.00,100.00,100.00,100.00,8.360,0.639,0.862,1.932
values_92,6338,853,10611,7886,3480,100.00,100.00,100.00,100.00,7.430,0.597,0.804,1.821
values_56,24357,3053,39151,29062,12900,100.00,100.00,100.00,100.00,7.978,0.622,0.838,1.888
values_47,8915,1238,15565,11563,5112,100.00,100.00,100.00,100.00,7.201,0.573,0.771,1.744
values_95,70435,8998,117261,86987,38760,100.00,100.00,100.00,100.00,7.828,0.601,0.810,1.817
values_98,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_8,61458,7461,97003,71966,32048,100.00,100.00,100.00,100.00,8.237,0.634,0.854,1.918
values_18,250611,29430,388045,287723,128600,100.00,100.00,100.00,100.00,8.515,0.646,0.871,1.949
values_28,40095,4933,63765,47318,21042,100.00,100.00,100.00,100.00,8.128,0.629,0.847,1.905
values_81,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_17,70435,8998,117261,86987,38760,100.00,100.00,100.00,100.00,7.828,0.601,0.810,1.817
values_38,318477,37238,491881,364687,163080,100.00,100.00,100.00,100.00,8.552,0.647,0.873,1.953
values_41,50011,6110,79225,58783,26160,100.00,100.00,100.00,100.00,8.185,0.631,0.851,1.912
values_73,539186,62533,828891,614462,275040,100.00,100.00,100.00,100.00,8.622,0.650,0.877,1.960
values_66,40095,4933,63765,47318,21042,100.00,100.00,100.00,100.00,8.128,0.629,0.847,1.905
values_58,220642,25973,342115,253678,113352,100.00,100.00,100.00,100.00,8.495,0.645,0.870,1.947
values_70,513,93,1015,758,332,100.00,100.00,100.00,100.00,5.516,0.505,0.677,1.545
values_46,145243,17246,226333,167851,74928,100.00,100.00,100.00,100.00,8.422,0.642,0.865,1.938
values_11,539186,62533,828891,614462,275040,100.00,100.00,100.00,100.00,8.622,0.650,0.877,1.960
values_33,250611,29430,388045,287723,128600,100.00,100.00,100.00,100.00,8.515,0.646,0.871,1.949
values_72,250611,29430,388045,287723,128600,100.00,100.00,100.00,100.00,8.515,0.646,0.871,1.949
values_6,145243,17246,226333,167851,74928,100.00,100.00,100.00,100.00,8.422,0.642,0.865,1.938
values_10,560195,68678,910861,675211,302280,100.00,100.00,100.00,100.00,8.157,0.615,0.830,1.853
values_27,6338,853,10611,7886,3480,100.00,100.00,100.00,100.00,7.430,0.597,0.804,1.821
values_24,397547,46318,612765,454283,203232,100.00,100.00,100.00,100.00,8.583,0.649,0.875,1.956
values_3,18323,2326,29673,22031,9768,100.00,100.00,100.00,100.00,7.877,0.617,0.832,1.876
values_69,4011,558,6841,5087,2240,100.00,100.00,100.00,100.00,7.188,0.586,0.788,1.791
values_36,105987,12678,165865,123023,54872,100.00,100.00,100.00,100.00,8.360,0.639,0.862,1.932
values_21,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_5,18323,2326,29673,22031,9768,100.00,100.00,100.00,100.00,7.877,0.617,0.832,1.876
values_49,50011,6110,79225,58783,26160,100.00,100.00,100.00,100.00,8.185,0.631,0.851,1.912
values_1,4011,558,6841,5087,2240,100.00,100.00,100.00,100.00,7.188,0.586,0.788,1.791
values_2,89338,10733,140161,103966,46350,100.00,100.00,100.00,100.00,8.324,0.637,0.859,1.927
values_13,488763,56766,751993,557471,249488,100.00,100.00,100.00,100.00,8.610,0.650,0.877,1.959
values_32,539186,62533,828891,614462,275040,100.00,100.00,100.00,100.00,8.622,0.650,0.877,1.960
values_39,356538,41613,550111,407846,182420,100.00,100.00,100.00,100.00,8.568,0.648,0.874,1.954
values_4,2338,341,4093,3046,1338,100.00,100.00,100.00,100.00,6.856,0.571,0.768,1.747
values_65,560195,68678,910861,675211,302280,100.00,100.00,100.00,100.00,8.157,0.615,0.830,1.853
values_85,488763,56766,751993,557471,249488,100.00,100.00,100.00,100.00,8.610,0.650,0.877,1.959
values_62,220642,25973,342115,253678,113352,100.00,100.00,100.00,100.00,8.495,0.645,0.870,1.947
values_91,539186,62533,828891,614462,275040,100.00,100.00,100.00,100.00,8.622,0.650,0.877,1.960
values_25,4011,558,6841,5087,2240,100.00,100.00,100.00,100.00,7.188,0.586,0.788,1.791
values_63,18323,2326,29673,22031,9768,100.00,100.00,100.00,100.00,7.877,0.617,0.832,1.876
values_12,560195,68678,910861,675211,302280,100.00,100.00,100.00,100.00,8.157,0.615,0.830,1.853
values_79,1131,190,2205,1643,720,100.00,100.00,100.00,100.00,5.953,0.513,0.688,1.571
values_54,488763,56766,751993,557471,249488,100.00,100.00,100.00,100.00,8.610,0.650,0.877,1.959
values_9,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_74,318477,37238,491881,364687,163080,100.00,100.00,100.00,100.00,8.552,0.647,0.873,1.953
values_22,13386,1725,21865,16238,7190,100.00,100.00,100.00,100.00,7.760,0.612,0.824,1.862
values_89,31563,3918,50461,37451,16640,100.00,100.00,100.00,100.00,8.056,0.625,0.843,1.897
values_48,50011,6110,79225,58783,26160,100.00,100.00,100.00,100.00,8.185,0.631,0.851,1.912
values_99,6338,853,10611,7886,3480,100.00,100.00,100.00,100.00,7.430,0.597,0.804,1.821
values_60,283203,33181,437913,324686,145158,100.00,100.00,100.00,100.00,8.535,0.647,0.872,1.951
values_34,50011,6110,79225,58783,26160,100.00,100.00,100.00,100.00,8.185,0.631,0.851,1.912
values_31,24357,3053,39151,29062,12900,100.00,100.00,100.00,100.00,7.978,0.622,0.838,1.888
values_37,441586,51365,680005,504118,225570,100.00,100.00,100.00,100.00,8.597,0.649,0.876,1.958
values_76,8915,1238,15565,11563,5112,100.00,100.00,100.00,100.00,7.201,0.573,0.771,1.744
values_19,318477,37238,491881,364687,163080,100.00,100.00,100.00,100.00,8.552,0.647,0.873,1.953
values_45,193185,22798,299961,222431,99360,100.00,100.00,100.00,100.00,8.474,0.644,0.869,1.944
values_68,18323,2326,29673,22031,9768,100.00,100.00,100.00,100.00,7.877,0.617,0.832,1.876
values_35,560195,68678,910861,675211,302280,100.00,100.00,100.00,100.00,8.157,0.615,0.830,1.853
values_80,283203,33181,437913,324686,145158,100.00,100.00,100.00,100.00,8.535,0.647,0.872,1.951
values_77,8915,1238,15565,11563,5112,100.00,100.00,100.00,100.00,7.201,0.573,0.771,1.744
values_29,135,38,361,271,111,100.00,100.00,100.00,100.00,3.553,0.374,0.498,1.216
values_55,135,38,361,271,111,100.00,100.00,100.00,100.00,3.553,0.374,0.498,1.216
values_40,356538,41613,550111,407846,182420,100.00,100.00,100.00,100.00,8.568,0.648,0.874,1.954
